Mall,ThingsToDo1,ThingsToDo2,ThingsToDo3,MRT,Region,Expenditure,Traffic,Rating,Review,MRT_Review,LATITUDE,LONGITUDE
Paya Lebar Square,Explore a variety of retail shops,dine at diverse food outlets,enjoy convenient access to Paya Lebar MRT station,Paya Lebar MRT,East,Medium,Medium,4/5,Clean,convenient,1.31881486980278,103.892580778242
Paya Lebar Quarter (PLQ),Relax at PLQ Parkside,dine at various restaurants,shop at numerous retail stores,Paya Lebar MRT,East,Medium,High,4.5/5,Modern and vibrant mall with excellent stores,dining,,
SingPost Centre,Shop at various retail outlets,dine at diverse eateries,visit the rooftop garden,Paya Lebar MRT,East,Medium,Medium,4/5,Functional mall with postal services,retail,,
Tampines 1,Shop at trendy fashion stores,dine at various restaurants,visit the rooftop water playground,Tampines MRT,East,Medium,High,4.5/5,Trendy and lively with great shopping and dining choices,Tampines MRT Station,1.34633535808984,103.933979581362
Tampines Mall,Shop at a wide range of retail stores,dine at numerous food outlets,catch the latest movies at the cinema,Tampines MRT,East,High,High,5/5,One of the best malls in the East,offering a wide range of stores and services,1.35259361362837,103.944785968039
White Sands,Shop at various retail stores,dine at multiple eateries,access essential services like supermarkets,Pasir Ris MRT,East,Low,Medium,3.5/5,A basic neighborhood mall with essential shopping and dining,ideal for locals,1.37228761596577,103.949733905672
321 Clementi,Shop at diverse retail outlets,dine at various eateries,catch the latest movies,Clementi MRT Station,Clementi MRT Station,Medium,Medium,4/5,A convenient neighborhood mall with a good mix of retail and dining,though it can be smaller compared to other West malls,1.31200212030821,103.764986676365
Alexandra Central,Visit boutique stores,enjoy café and restaurant dining,stay at the integrated hotel,Queenstown MRT Station,Queenstown MRT Station,Medium,Medium,3.5/5,A quieter mall with basic stores and food options,catering mostly to the nearby residential community,1.28728320930592,103.805283367958
Anchorpoint,Explore outlet stores,dine at fast food and sit-down restaurants,enjoy a relaxed vibe,Queenstown MRT Station,Queenstown MRT Station,Low,Low,2.5/5,A smaller mall that’s a bit outdated,but has some affordable outlets,1.28893477974497,103.805607779399
Boon Lay Shopping Centre,Shop for household goods and apparel,eat local hawker fare,access banking and clinics,Lakeside MRT Station,Lakeside MRT Station,Low,Low,2/5,A basic,older mall with fewer retail options,1.34637376407877,103.712472819666
FairPrice Hub,Shop in bulk at Warehouse Club,dine at quick-service eateries,work out at the gym,Joo Koon MRT Station,Joo Koon MRT Station,Medium,Medium,3.5/5,A functional mall with a good supermarket and variety of stores,though it lacks entertainment options,,
Gek Poh Shopping Centre,Visit the supermarket and shops,eat local delicacies at the food court,use neighborhood services,Pioneer MRT Station,Pioneer MRT Station,Low,Low,2/5,A small and older mall with limited offerings,ideal for local needs but not much else,1.3487416466288,103.697739629738
IMM,Shop at outlet stores,choose from over 50 F&B options,let kids play at outdoor areas,Jurong East MRT Station,Jurong East MRT Station,High,High,5/5,A large outlet mall offering great deals and a variety of stores,perfect for shoppers looking for discounts,1.33487526118006,103.746894773008
Jem,Shop for fashion and homeware,dine at casual and fine eateries,unwind at the rooftop garden,Jurong East MRT Station,Jurong East MRT Station,High,High,5/5,A modern and spacious mall with high-end stores,dining options,1.33305999269581,103.743503708169
Jurong Point,Explore themed zones like 'Mongkok' and 'Little Japan',enjoy diverse food choices,join cultural events,Boon Lay MRT Station,Boon Lay MRT Station,Medium,Medium,4/5,A well-established mall with a wide variety of stores,though it can feel crowded during peak hours,1.3394520043632,103.706685012926
Pioneer Mall,Shop for essentials,grab local bites at the food court,use community fitness facilities,Pioneer MRT Station,Pioneer MRT Station,Low,Low,2.5/5,A smaller and quieter mall with fewer stores,catering mostly to locals but lacking big attractions,1.34169239214292,103.697174842118
Queensway Shopping Centre,Buy sports gear and custom apparel,enjoy unique snack spots,check out affordable tailoring services,Queenstown MRT Station,Queenstown MRT Station,Medium,Medium,3/5,A popular mall for sports and outdoor gear,though it’s older and can feel a bit dated,1.2876179255874,103.803391140455
Taman Jurong Shopping Centre,Shop for electronics and fashion,eat at food courts and restaurants,join community events,Lakeside MRT Station,Lakeside MRT Station,Low,Low,2/5,A basic mall with limited shops and facilities,mostly serving the local community,1.33484487471259,103.720462024278
The Clementi Mall,Browse popular brand stores,dine across various cuisines,visit the public library,Clementi MRT Station,Clementi MRT Station,Medium,Medium,4/5,A reliable shopping spot with a solid range of shops and services,ideal for local shoppers,1.31489619639366,103.764423054189
The Star Vista,Shop lifestyle and wellness brands,dine at gourmet restaurants,attend performances at the arts centre,Buona Vista MRT Station,Buona Vista MRT Station,Medium,Medium,3.5/5,A modern mall with a good mix of shopping and dining,though the layout can be confusing at times,1.30681500712523,103.788462732266
West Coast Plaza,Shop at fashion boutiques and bookstores,enjoy diverse culinary options,relax in a calm atmosphere,Clementi MRT Station,Clementi MRT Station,Medium,Medium,3.5/5,A neighborhood mall with a decent range of stores and dining options,though smaller compared to other malls in the area,1.30358622534992,103.76610375397
Westgate,Explore lifestyle and fashion stores,enjoy alfresco dining,let kids play at the outdoor playground,Jurong East MRT Station,Jurong East MRT Station,High,High,5/5,A stylish mall with a great selection of retail and dining options,often less crowded than other big malls,1.33415767556867,103.742766484424
100 AM,,,,,Central,Low,Medium,4/5,Modern mall with a good variety of stores but limited dining options,Tanjong Pagar MRT Station,1.27458821795426,103.84347073661
313@Somerset,,,,,Central,High,High,4.5/5,Popular shopping destination with a wide range of stores and dining options,Somerset MRT Station,1.30101436404056,103.838360664485
Aperia,,,,,Central,Low,Medium,3.5/5,A smaller mall with fewer options but convenient for nearby residents,Lavender MRT Station,1.3104736675734,103.86431321816
Balestier Hill Shopping Centre,,,,,Central,Low,Low,3/5,Basic mall with limited appeal and older facilities,Novena MRT Station,1.32559594839311,103.842571612968
Bugis Cube,,,,,Central,Low,Medium,3.5/5,Niche mall catering to youth fashion,but somewhat limited in other areas,1.2981408343975,103.855635339249
Bugis Junction,,,,,Central,Medium,High,4.5/5,Vibrant mall with a large selection of stores,food courts,1.29911287475873,103.855411173758
Bugis+,,,,,Central,Low,High,4/5,Modern mall with trendy fashion stores and great ambiance for young crowds,Bugis MRT Station,1.30095171530648,103.855172625542
Capitol Piazza,,,,,Central,Medium,Medium,4/5,Upscale mall with unique stores and dining options,but more expensive,1.29307884763132,103.851261982149
Clarke Quay Central,,,,,Central,Low,Medium,4/5,Good mix of retail,dining,,
The Centrepoint,,,,,Central,Medium,Medium,3.5/5,Family-friendly mall with a good selection,though it feels a bit outdated,1.30145045537088,103.840034074858
City Gate Mall,,,,,Central,Low,Low,3.5/5,Offers unique shops,but the layout and variety of stores could be better,,
CityLink Mall,,,,,Central,Low,Medium,4/5,Connected to major shopping districts and MRT,offering convenience and a good variety of shops,1.29260349413333,103.854316064564
Far East Plaza,,,,,Central,Low,Medium,3.5/5,A well-known spot for budget-friendly fashion and food,but the mall's feel is a bit dated,1.30730468891062,103.833818438639
GR.iD (formerly PoMo),,,,,Central,Low,Medium,3.5/5,Targeted at youth with interesting stores but limited offerings,Dhoby Ghaut MRT Station,,
Holland Village Shopping Mall,,,,,Central,Low,Medium,4/5,Convenient with a local charm,offering food and retail options near the heart of Holland Village,,
Marina Bay Link Mall,,,,,Central,High,Medium,4/5,Conveniently located with high-end shops,though somewhat smaller in size,1.28003113385646,103.854284863268
Millenia Walk,,,,,Central,Medium,Medium,3.5/5,Offers a quieter shopping experience with high-end brands but lacks variety,Promenade MRT Station,1.29267926922552,103.860302888543
Mustafa Shopping Centre,,,,,Central,Low,High,4.5/5,Open 24/7 with an extensive range of goods at great prices,Farrer Park MRT Station,,
Ngee Ann City,,,,,Central,High,High,4.5/5,A major shopping center with luxury brands,dining,1.3022727300848,103.834899517575
One Holland Village,,,,,Central,Low,Medium,4/5,New mall offering a nice mix of retail and dining with a neighborhood vibe,Holland Village MRT Station,,
Orchard Gateway,,,,,Central,Medium,High,4/5,Trendy mall with a solid mix of brands and a great vibe for shopping,Somerset MRT Station,1.30160116957544,103.838868886519
Orchard Plaza,,,,,Central,Low,Medium,3.5/5,Older mall with a smaller range of shops,but great for budget-friendly options,1.30125729409965,103.841150144584
Paragon,,,,,Central,High,High,4.5/5,High-end shopping mall with luxury stores and excellent dining options,Orchard MRT Station,,
People's Park Centre,,,,,Central,Low,Low,3/5,Basic shopping center with limited options,but offers some local goods,1.28564781446701,103.843861556498
People's Park Complex,,,,,Central,Low,Low,3/5,Older mall with more local offerings and a slightly outdated feel,Chinatown MRT Station,1.28404487854559,103.842590753293
Raffles City,,,,,Central,High,High,4.5/5,Large mall with great variety and central location near City Hall,City Hall MRT Station,1.29397670992871,103.853333627297
Sim Lim Square,,,,,Central,Low,Medium,3.5/5,Popular for electronics and IT products,though its layout can be chaotic,1.30290658774258,103.853031869482
Singapore Shopping Centre,,,,,Central,Low,Low,3/5,Small and basic mall with fewer stores and not as much appeal,Dhoby Ghaut MRT Station,1.28649701803051,103.844628721032
The South Beach,,,,,Central,Medium,Medium,4/5,Modern and stylish mall with a mix of retail and dining options,Esplanade MRT Station,1.29498804392056,103.856276242094
Velocity@Novena,,,,,Central,Medium,Medium,4/5,Sports-themed mall with a variety of retail options,Novena MRT Station,,
VivoCity,,,,,South,High,High,5/5,A large and vibrant mall with a variety of retail,dining,,
HarbourFront Centre,,,,,South,Medium,Medium,4/5,A convenient mall with a decent mix of shopping and dining,though it can feel a bit dated,,
Alexandra Retail Centre,,,,,South,Medium,Medium,3.5/5,A quieter mall with a more niche selection of stores,ideal for locals but lacks major attractions,,
